Date,Adj Close,Volume,Ticker,Return,rolling_return,rolling_volatility,rsi,rolling_return_scaled,rolling_volatility_scaled,rsi_scaled,volume_scaled,pca1,pca2,svm_anomaly_score,svm_anomaly
2024-07-15,20.75,2113000,GO,-0.0212264503181582,-0.006274588949406812,0.014795247882904112,39.23623642831705,-0.7158537391765207,-0.5947164114012689,-2.133290849767626,0.5140449312515892,-0.6269962878135954,2.0434904092452872,-5.253134588204047e-05,-1
2023-07-20,60.290000915527344,75500,PLUS,0.0009962041133495,0.007967474267722409,0.006249258290614254,35.56309503864131,0.7314584069721447,-1.0337199020882948,-2.8657351412275633,-0.32432370205813743,-1.1140636503907007,1.2712951872112694,-5.250175262708281e-05,-1
2024-02-29,6.356629848480225,1853500,SVC,-0.1099476303461036,-0.008421452560971807,0.041135285947635686,35.67435086973765,-0.9340230966475322,0.7583590318076369,-2.8435501258052898,0.40726865623619096,-0.414723618466109,2.6473854951244924,-5.338427354031963e-05,-1
2022-08-31,18.69680595397949,1031700,BGS,-0.0212380862517679,-0.010608742908322399,0.01415871397382037,36.0743872116639,-1.1563007146170132,-0.6274148607745901,-2.7637807121246856,0.06912321189070215,-1.3133890145743157,2.5151497784406733,-5.739067606649953e-05,-1
2020-03-10,11.975566864013672,656100,BKE,-0.0567448275033201,-0.01941271310123906,0.03266275335366612,43.44193080901846,-2.0509809867291264,0.32312899278817364,-1.2946526069196373,-0.08542464512580501,-1.021400074343324,2.0370862935041862,-5.4451887822188486e-05,-1
2021-10-27,28.129262924194336,343700,TRMK,-0.0748583353135317,-0.005328371216673313,0.026415750369284886,33.896717771331865,-0.6196968554014682,0.002223369529533348,-3.1980197955264704,-0.2139676444121651,-1.1880578529747712,2.3808702083645645,-5.63520829638682e-05,-1
2022-11-28,36.54076766967773,446500,BFH,-0.0369059552524076,-0.011578945108927785,0.029682660660565297,42.457554639740586,-1.2548949567397063,0.17004302413423614,-1.4909425476943994,-0.17166860367388784,-0.9040240239901194,1.6514218418769377,-5.2662596253500585e-05,-1
2020-09-01,100.0,329600,FOXF,-0.0080348931476063,-0.009204056262522598,0.012822206856895836,43.48448326399257,-1.0135531356318472,-0.6960706066448248,-1.2861674168801251,-0.21976936108930234,-1.1559897258985574,1.316771956457938,-5.2850936185595135e-05,-1
2022-04-29,31.5,316700,THS,-0.0574505767247295,-0.006506548204113479,0.024749532366651963,39.91763140106322,-0.7394259872160307,-0.08336947042212654,-1.9974170009089276,-0.2250773146449811,-0.9821298134351435,1.6479261888042522,-5.303593250430352e-05,-1
2020-01-10,12.458650588989258,1416200,VIRT,-0.0391414127484028,-0.005296262541243899,0.02020180627253116,37.59284769207842,-0.6164338958683407,-0.31698403412446335,-2.460991466436184,0.2273331453913598,-0.7851340212753651,2.0810492505524483,-5.342747085937474e-05,-1
2020-06-22,20.6200008392334,634100,BJRI,-0.0310150294227339,-0.029200291723218596,0.05448680507065945,46.79152864912097,-3.0456178736050843,1.4442203282302417,-0.6267246519638381,-0.09447696901921065,-0.7775781769515798,2.222306327086943,-5.383411662932061e-05,-1
2020-03-20,55.40999984741211,576500,OMCL,-0.0780365847884086,-0.036725349392867965,0.07895824482515461,45.54832561100947,-3.810332030515563,2.701306749684926,-0.8746260725162348,-0.11817759884921815,-0.628712334633012,2.876995247083748,-5.515862977204036e-05,-1
2022-12-13,28.67793273925781,377500,MATW,-0.0201626730462062,-0.006372983113412866,0.011893617769990945,38.16863622231935,-0.7258527868218669,-0.7437717939868862,-2.346176114310491,-0.20005998315775098,-1.3124457403550174,1.8561075500008524,-5.5315349461710486e-05,-1
2022-01-27,25.23998260498047,172900,CPF,-0.027172094341742,-0.0035157873686420768,0.017214475422972608,35.81337474523657,-0.4354977980617067,-0.4704418234922885,-2.8158280119024512,-0.2842465953664234,-1.274751732411445,1.9679130745356432,-5.548116465617439e-05,-1
2023-03-15,182.1499938964844,260400,MSGS,-0.0128441920718634,-0.005589186856090044,0.008242390565743773,42.25463429435285,-0.6462015574996418,-0.9313336287686729,-1.5314059638368007,-0.2482430344267419,-1.1979814358703678,1.239889446974978,-5.281599440279463e-05,-1
2021-06-17,30.75,130700,DXPE,-0.0444375479059825,-0.0012952611207361665,0.023597376863211613,39.38602040982766,-0.20984266927595255,-0.14255516007951993,-2.1034231124357747,-0.30161059847104693,-0.8958559439912052,1.367982959102397,-5.1731851150289135e-05,-1
2024-01-16,35.11709213256836,1799500,SM,-0.0476699103650137,-0.00832007587072488,0.018507699172788602,41.216763540100104,-0.9237209576320096,-0.4040095239583892,-1.738363014649579,0.38504931577055895,-0.63245392264403,1.8529246299835884,-5.1959449847955444e-05,-1
2020-03-12,23.85747337341309,418600,SFBS,-0.0952548315403859,-0.03179585484233182,0.05134545729679084,43.98631747215236,-3.3093851361931317,1.282850761453046,-1.1860989572071365,-0.1831485962477977,-1.1495686244963337,2.701259461893853,-5.7169347559144626e-05,-1
2023-08-22,38.61577606201172,741700,HP,-0.0151072627819215,-0.006870714496916159,0.012046513797150585,43.51372065458066,-0.7764334271322741,-0.7359175965401894,-1.2803373228103407,-0.05020287579509944,-0.9474352479023727,1.2493236848769342,-5.161282414603632e-05,-1
